ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
0.86368105,-0.264786775,-0.089981859,0.807755707,-0.162173424,-0.274506396,-0.078767126,0.891327913,-0.180560535,0.082865529,-0.362897037,0.907334186,-0.094479328,0.044638306,-0.306153345
0.949224897,-0.343929102,-0.489279215,0.926132782,-0.313698015,-0.333361011,-0.443199238,0.965128568,-0.311432588,0.386854947,-0.338277905,0.784080475,-0.4607618,0.195614509,-0.334879833
0.742536946,0.067954506,-0.123460529,0.510689669,0.279489782,-0.020628329,0.144422619,0.812371109,0.259614595,-0.257488957,-0.023918428,-0.018246048,0.373958873,0.054203144,0.314091191
0.849394955,-0.289797538,-0.046285603,0.783880503,-0.257647817,-0.241007559,0.013878176,0.878782953,-0.22223128,0.707532695,-0.300501304,0.943110226,-0.004208759,0.616741253,-0.303703975
0.912706796,-0.16643462,-0.153454066,0.541263065,0.313590095,-0.07717611,-0.021640309,0.757222694,0.459705395,0.056527299,0.033667681,0.006459006,0.153599886,0.057487365,0.58162363
0.809865444,-0.119584207,0.360912968,0.63595448,-0.047646488,-0.089934948,0.316727764,0.84664305,-0.038644283,-0.185152991,-0.01458089,0.553863324,0.303831511,-0.500920607,-0.012295515
0.710542265,0.005241743,0.26218061,0.487283102,0.062251279,-0.10533715,0.117363828,0.822642947,-0.064178545,0.552402269,-0.119941968,0.887948356,0.119236109,0.457351443,-0.112115721
0.497600435,0.002110428,0.00138422,-0.11697967,0.0485309,0.008812176,0.020944675,0.645885303,0.023433264,0.492456373,0.136217083,0.930955611,0.200046208,0.414032825,0.123423883
0.966521152,-0.447288127,-0.509636202,0.952756048,-0.40772348,-0.45255441,-0.518920027,0.976458015,-0.429107832,0.737813242,-0.444194796,0.951199924,-0.52400572,0.716715451,-0.441715068
0.220039019,-0.036868342,0.016704703,-0.95318907,0.022866203,-0.284056817,-0.573542895,-0.199880517,-0.313017344,0.489939489,0.013313691,0.713492286,-0.03813938,0.321504003,-0.041180795
-0.057635275,-0.330527724,-0.08222687,0.599563143,0.131264514,0.063363024,0.090510429,0.623240597,-0.102104427,-0.022504911,-0.105143775,0.533940973,0.010710383,-0.434819687,0.11186603
0.711554851,-0.179026308,0.040014015,0.386500159,0.227455998,-0.164750422,0.015535282,0.863608688,0.207510945,-0.003327853,-0.072262187,0.629520019,0.021283909,-0.426412295,0.241205188
0.838736731,-0.12201442,-0.060027498,0.769164513,-0.064969894,-0.078349132,0.016839169,0.886439041,-0.037397749,0.663476633,-0.130545646,0.947241984,-0.050392718,0.631187963,-0.084322493
0.515083039,0.00485839,0.064314968,0.489495354,-0.152148977,-0.318650615,-0.433445153,0.649895239,-0.504737439,0.676004899,0.020522604,0.768692548,0.04460518,0.740173206,0.067580145
0.506284452,-0.305580997,-0.034629775,0.488533465,0.243376262,0.083781107,0.064733792,0.692582284,0.461263836,-0.021326101,-0.023928733,0.026144576,0.057737993,0.047390474,0.542231911
0.439116374,0.007799812,0.044084458,0.448102885,0.077940898,-0.056331604,-0.072143237,0.585101782,-0.008979513,0.530394544,-0.020212678,0.793884974,0.04108965,0.259552285,0.060898864
0.85904178,0.340274274,-0.580121276,0.729029997,0.751598375,0.369359599,-0.466389815,0.805223615,0.734461006,-0.154011768,0.422529707,0.625656977,-0.538177714,-0.439032341,0.708794524
0.460547758,-0.174337533,-0.11516104,0.424945951,0.299327425,0.1263217,-0.025494236,0.510698824,0.406098095,0.022288534,-0.015889029,-0.004768587,0.017915676,-0.040115171,0.698155143
0.496450844,0.021996105,0.035159978,0.455596387,0.077064243,-0.035032897,-0.042103777,0.754640591,0.081206745,0.257382449,-0.013571582,0.658698133,-0.062077542,-0.328511485,0.196467968
0.815147919,-0.268404191,-0.138974316,0.775778634,-0.224810204,-0.168260223,-0.124454141,0.885818609,-0.260959638,0.471679034,-0.176041458,0.669739117,-0.066493811,0.824073251,-0.237524255
0.933675161,0.347525153,-0.489852618,0.647861032,0.736288186,0.314868857,-0.450172263,0.70674144,0.704449778,-0.234708859,0.333804566,0.680337305,-0.464247842,-0.720378958,0.602214802
0.283828304,-0.070314762,-0.112964117,0.456964956,0.180945996,-0.085209328,-0.162276666,0.547777612,-0.030535478,0.042540543,-0.033663927,0.807428072,0.000743183,-0.346454767,0.128977699
0.335398478,-0.092296531,-0.021289907,0.480386039,-0.027598136,-0.121899541,0.111937887,0.569383636,-0.096502052,0.218281407,-0.088767288,0.891764921,0.116190001,0.156767965,-0.00613189
0.631995006,-0.408265161,0.48018492,0.32187235,0.141873498,-0.227604655,0.393080389,0.563958779,0.588051884,-0.394460719,-0.156887498,-0.011602313,0.460470548,0.02492645,-0.036737418
0.381143006,-0.020676582,-0.023166297,0.45269038,0.305133431,-0.047239092,-0.143411203,0.452941013,-0.054408572,0.171286156,-0.035230936,0.55629804,0.037034156,-0.236038314,0.227036616
0.988911901,0.409399191,-0.607633702,0.079665995,0.930497788,0.404128664,-0.596655078,0.170277845,0.926576571,-0.28429001,-0.06745591,0.584202459,0.008256346,-0.648670659,0.075230084
0.713771014,-0.073155891,-0.053129411,0.417183977,-0.04921046,-0.099090624,-0.005062264,0.799760829,-0.076376876,0.027775209,-0.019795449,0.89218102,0.047035626,-0.13896452,0.045538319
