,ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
36,0.449796464,-0.272114312,-0.242136278,0.273943731,-0.283220443,-0.096003242,-0.219487172,0.44242637,-0.11362685,0.467180393,0.026787713,0.837995306,-0.390467546,0.332849926,0.179339376
37,0.390942497,-0.064056182,-0.141885182,0.238964405,-0.04547754,-0.240713905,-0.262062412,0.341851657,-0.265197292,0.185088354,0.188745141,0.903459335,-0.175916066,-0.027987302,0.170860552
38,0.477722811,0.024840797,-0.212643277,-0.073807692,0.1791425,-0.064334918,-0.173139439,0.004270496,0.165193109,-0.077731281,0.059207127,0.743185879,-0.037781739,-0.371641932,0.07239745
39,0.411315519,0.148658818,0.062194367,-0.066763805,0.17737044,0.166791313,-0.353771265,-0.037385138,0.267741317,0.288843037,0.327964226,0.852644461,-0.008188856,0.019172806,0.386968567
40,0.904897774,0.47203779,-0.426411375,0.864308333,0.742713964,0.492752347,-0.456555975,0.894153089,0.732650808,-0.571387939,0.579090426,0.742274012,-0.455600953,-0.76838152,0.785986793
41,0.529497264,-0.101670162,-0.255603893,0.332411335,-0.193587813,0.006734524,-0.168753523,0.383285029,-0.195732462,0.169896697,-0.182068551,0.616294805,-0.282405105,-0.148257872,-0.332119582
42,0.600732816,-0.121769442,-0.204730529,0.250589725,-0.14697803,-0.283291769,-0.316230837,0.298532829,-0.291208246,0.493330586,-0.240953206,0.843162249,-0.011091834,0.298274101,-0.302927152
43,0.445524535,-0.303759006,-0.399572807,0.566052971,-0.335760702,-0.405496011,-0.347876808,0.598454596,-0.416365207,0.487882471,-0.471293239,0.9324214,-0.551770684,0.388539052,-0.517251704
44,0.2736715,-0.00120426,0.141065301,0.055628014,-0.01580591,-0.015820425,0.006598545,0.123828079,-0.006120132,0.273580112,-0.112139664,0.678115931,0.149622686,0.09888277,-0.146302308
45,0.218818713,0.157014689,0.199495116,0.066932417,0.163621004,-0.125931116,-0.081149147,0.114597781,-0.126580359,0.312432595,-0.091452787,0.848142381,0.053601821,0.191922115,-0.096580961
